# Temperature (K) 	 94 	 131 	 171 	 195 	 284 	 304 
5011.87233627 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 
5308.84444231 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 
5623.4132519 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 
5956.62143529 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 
6309.5734448 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 
6683.43917569 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 
7079.45784384 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 
7498.94209332 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 
7943.28234724 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 
8413.95141645 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 
8912.50938134 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 
9440.60876286 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 
10000.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 	 0.0 
10592.5372518 	 4.771781902608135e-66 	 5.081144899269563e-67 	 3.34832879931228e-52 	 2.999892211696811e-52 	 2.127389911892583e-52 	 3.0994663955710524e-52 
11220.184543 	 1.4574043675929012e-54 	 1.3541436700366963e-55 	 5.868846680496372e-51 	 5.376480594443244e-51 	 3.521741620187279e-51 	 6.471603014643158e-51 
11885.0222744 	 3.238018565600829e-54 	 3.0032129976220324e-55 	 6.568702550174644e-50 	 5.905567270228294e-50 	 4.559046351979433e-50 	 1.151011720782978e-49 
12589.2541179 	 2.229559157419358e-53 	 2.0678822513343404e-54 	 6.323119084510872e-49 	 5.667141232031277e-49 	 5.2508833165717424e-49 	 2.0896547873757197e-48 
13335.2143216 	 4.0177151645379307e-54 	 3.7263808252794905e-55 	 4.8590643581124505e-48 	 4.3273311250373615e-48 	 6.484297647839302e-48 	 4.433949146174376e-47 
14125.3754462 	 3.685585077137817e-54 	 3.4186679588088226e-55 	 3.1394900540114367e-47 	 2.7739451213077687e-47 	 1.0092550231711057e-46 	 9.790318517509416e-46 
14962.3565609 	 2.9841784858647378e-56 	 2.7520300018380877e-55 	 1.7984404724489872e-46 	 1.552745965404281e-46 	 1.7916843738788844e-45 	 1.9861182176530945e-44 
15848.9319246 	 1.4818460489691487e-53 	 1.3926204607703974e-54 	 1.0447861935151112e-45 	 8.470503938359449e-46 	 3.0459789688203204e-44 	 3.5094504912951213e-43 
16788.0401812 	 1.1764686564904832e-53 	 4.5107532054518687e-54 	 7.408677490629815e-45 	 5.370318827103993e-45 	 4.587734423008255e-43 	 5.3407014148327927e-42 
17782.7941004 	 1.7893913515899878e-52 	 2.7881166112317155e-53 	 6.667663794939348e-44 	 4.3593961090055315e-44 	 6.009873778238893e-42 	 7.015484182322646e-41 
18836.4908949 	 2.2065583988159555e-51 	 2.573230367786963e-52 	 6.555422827991348e-43 	 4.0617655744742e-43 	 6.849845080491917e-41 	 8.001214711035498e-40 
19952.6231497 	 2.3099680920332934e-50 	 2.701385260333419e-51 	 6.17263283681794e-42 	 3.744548949114001e-42 	 6.823285599909267e-40 	 7.970198579199643e-39 
21134.8903984 	 2.0744107052417452e-49 	 2.4149282659383153e-50 	 5.271463330809789e-41 	 3.174133347998845e-41 	 5.9668074498743e-39 	 6.967956190472399e-38 
22387.2113857 	 1.6277558225896572e-48 	 1.9042141070606098e-49 	 4.004630021156367e-40 	 2.4067358450476933e-40 	 4.584384903264159e-38 	 5.351400475059075e-37 
23713.7370566 	 1.1355926134398124e-47 	 1.3436656400597277e-48 	 2.6809134665405512e-39 	 1.612380317192775e-39 	 3.086165345028931e-37 	 3.60062448829871e-36 
25118.8643151 	 7.103532579271821e-47 	 8.531612534614818e-48 	 1.5578420141624626e-38 	 9.391290035975839e-39 	 1.7969744118870418e-36 	 2.095205183113887e-35 
26607.250598 	 4.00544677767215e-46 	 4.895420693107325e-47 	 7.731475473316485e-38 	 4.677238907555123e-38 	 8.914513558709369e-36 	 1.0386356064218288e-34 
28183.8293126 	 2.040663086922399e-45 	 2.5448355533544e-46 	 3.232667957490277e-37 	 1.9643975956677828e-37 	 3.7191204476482285e-35 	 4.329535196434224e-34 
29853.8261892 	 9.426575813990767e-45 	 1.2081786338231675e-45 	 1.1314486723804029e-36 	 6.912128518963404e-37 	 1.297122901296875e-34 	 1.5085906835949486e-33 
31622.7766017 	 3.9775920527519056e-44 	 5.384097951005e-45 	 3.382644900190787e-36 	 2.0791006060887815e-36 	 3.86043102948744e-34 	 4.4850621711616864e-33 
33496.5439158 	 1.54705781419732e-43 	 2.420364154443172e-44 	 8.876119344162445e-36 	 5.492812884751691e-36 	 1.0075735783839035e-33 	 1.1692425665270043e-32 
35481.3389234 	 5.5929455543076905e-43 	 1.2467816466414589e-43 	 2.1029423362434916e-35 	 1.3111115183886448e-35 	 2.3726923353996224e-33 	 2.749901403396253e-32 
37583.7404288 	 1.892137409749577e-42 	 7.790458543250528e-43 	 4.616227968891374e-35 	 2.901359573030649e-35 	 5.173460301403135e-33 	 5.987657001790915e-32 
39810.7170553 	 6.018688313289654e-42 	 5.184701008010402e-42 	 9.531467949693628e-35 	 6.042389259901527e-35 	 1.0604064447386797e-32 	 1.225459935350183e-31 
